iter	Passed	Remaining
415	3026	4249
416	3036	4244
417	3045	4240
418	3053	4233
419	3059	4225
420	3067	4218
421	3074	4211
422	3082	4204
423	3089	4197
424	3098	4192
425	3105	4184
426	3113	4177
427	3122	4172
428	3130	4166
429	3136	4157
430	3142	4149
431	3151	4143
432	3158	4136
433	3167	4131
434	3174	4123
435	3185	4120
436	3195	4116
437	3203	4109
438	3210	4102
439	3218	4095
440	3224	4087
441	3232	4080
442	3238	4071
443	3246	4064
444	3251	4055
445	3258	4048
446	3265	4039
447	3271	4030
448	3277	4022
449	3286	4016
450	3294	4010
451	3301	4002
452	3308	3995
453	3315	3987
454	3322	3979
455	3329	3971
456	3335	3963
457	3343	3957
458	3349	3948
459	3356	3939
460	3364	3933
461	3372	3926
462	3378	3918
463	3385	3910
464	3392	3903
465	3398	3894
466	3404	3885
467	3412	3879
468	3418	3870
469	3426	3863
470	3432	3855
471	3440	3849
472	3447	3840
473	3454	3832
474	3462	3826
475	3470	3820
476	3477	3812
477	3483	3803
478	3491	3797
479	3497	3788
480	3505	3781
481	3511	3773
482	3517	3765
483	3524	3757
484	3530	3748
485	3538	3742
486	3546	3735
487	3553	3728
488	3561	3722
489	3569	3714
490	3577	3708
491	3586	3703
492	3594	3696
493	3601	3688
494	3609	3682
495	3614	3673
496	3622	3666
497	3628	3657
498	3636	3650
499	3643	3643
500	3649	3635
501	3657	3628
502	3664	3620
503	3672	3614
504	3679	3606
505	3687	3600
506	3692	3591
507	3699	3583
508	3707	3576
509	3715	3569
510	3721	3561
511	3727	3552
512	3735	3546
513	3742	3538
514	3748	3530
515	3757	3524
516	3765	3518
517	3772	3510
518	3780	3503
519	3787	3496
520	3793	3488
521	3802	3481
522	3808	3473
523	3815	3465
524	3821	3457
525	3827	3449
526	3835	3442
527	3841	3434
528	3847	3425
529	3854	3418
530	3861	3410
531	3869	3403
532	3875	3395
533	3885	3390
534	3891	3382
535	3899	3375
536	3906	3367
537	3914	3361
538	3919	3352
539	3928	3346
540	3934	3338
541	3941	3330
542	3948	3322
543	3955	3315
544	3961	3307
545	3969	3300
546	3978	3295
547	3986	3287
548	3993	3280
549	4001	3273
550	4008	3266
551	4015	3258
552	4021	3250
553	4030	3244
554	4037	3236
555	4044	3229
556	4050	3221
557	4056	3213
558	4063	3205
559	4069	3197
560	4077	3190
561	4083	3182
562	4090	3174
563	4098	3167
564	4104	3159
565	4111	3152
566	4117	3144
567	4124	3136
568	4130	3128
569	4137	3120
570	4144	3113
571	4150	3105
572	4155	3096
573	4161	3088
574	4166	3079
575	4173	3072
576	4179	3064
577	4186	3056
578	4193	3049
579	4199	3040
580	4206	3033
581	4212	3025
582	4218	3017
583	4224	3009
584	4231	3001
585	4238	2994
586	4244	2986
587	4249	2977
588	4255	2969
589	4260	2960
590	4265	2952
591	4272	2944
592	4278	2936
593	4284	2928
594	4291	2920
595	4296	2912
596	4302	2904
597	4309	2896
598	4315	2889
599	4322	2881
600	4328	2873
601	4335	2866
602	4341	2858
603	4347	2850
604	4353	2842
605	4358	2833
606	4364	2825
607	4372	2818
608	4377	2810
609	4385	2803
610	4391	2796
611	4398	2788
612	4405	2781
613	4412	2773
614	4420	2767
615	4426	2759
616	4432	2751
617	4439	2743
618	4445	2736
619	4451	2728
620	4457	2720
621	4463	2712
622	4472	2706
623	4477	2698
624	4486	2691
625	4492	2683
626	4498	2676
627	4505	2668
628	4511	2661
629	4519	2654
630	4524	2645
631	4531	2638
632	4538	2631
633	4543	2622
634	4549	2615
635	4556	2607
636	4562	2599
637	4569	2592
638	4575	2584
639	4583	2578
640	4589	2570
641	4597	2563
642	4603	2555
643	4609	2547
644	4615	2540
645	4621	2532
646	4626	2524
647	4633	2517
648	4639	2509
649	4644	2500
650	4650	2492
651	4655	2485
652	4662	2477
653	4668	2469
654	4674	2461
655	4681	2455
656	4687	2447
657	4695	2440
658	4700	2432
659	4706	2424
660	4712	2416
661	4718	2409
662	4724	2401
663	4733	2395
664	4739	2387
665	4746	2380
666	4751	2372
667	4757	2364
668	4762	2356
669	4768	2348
670	4774	2340
671	4782	2334
672	4788	2326
673	4795	2319
674	4801	2311
675	4807	2304
676	4814	2297
677	4820	2289
678	4827	2282
679	4834	2275
680	4840	2267
681	4846	2259
682	4852	2252
683	4858	2244
684	4864	2236
685	4870	2229
686	4878	2222
687	4884	2214
688	4890	2207
689	4897	2200
690	4902	2192
691	4908	2184
692	4914	2177
693	4921	2169
694	4927	2162
695	4935	2155
696	4942	2148
697	4947	2140
698	4953	2132
699	4958	2125
700	4964	2117
701	4969	2109
702	4977	2103
703	4984	2095
704	4991	2088
705	4996	2080
706	5002	2073
707	5009	2065
708	5015	2058
709	5022	2051
710	5029	2044
711	5034	2036
712	5042	2029
713	5047	2021
714	5054	2014
715	5060	2007
716	5066	1999
717	5073	1992
718	5079	1985
719	5085	1977
720	5092	1970
721	5098	1963
722	5104	1955
723	5110	1948
724	5116	1940
725	5122	1933
726	5127	1925
727	5133	1918
728	5139	1910
729	5146	1903
730	5152	1896
731	5158	1888
732	5163	1880
733	5169	1873
734	5176	1866
735	5181	1858
736	5189	1851
737	5194	1844
738	5200	1836
739	5207	1829
740	5212	1822
741	5218	1814
742	5226	1807
743	5232	1800
744	5239	1793
745	5244	1785
746	5250	1778
747	5256	1771
748	5262	1763
749	5270	1756
750	5275	1749
751	5281	1741
752	5288	1734
753	5294	1727
754	5301	1720
755	5306	1712
756	5312	1705
757	5320	1698
758	5326	1691
759	5334	1684
760	5339	1676
761	5344	1669
762	5350	1662
763	5356	1654
764	5362	1647
765	5369	1640
766	5375	1633
767	5382	1625
768	5389	1618
769	5395	1611
770	5402	1604
771	5408	1597
772	5416	1590
773	5423	1583
774	5431	1576
775	5437	1569
776	5442	1562
777	5448	1554
778	5454	1547
779	5459	1539
780	5468	1533
781	5473	1525
782	5481	1519
783	5486	1511
784	5492	1504
785	5499	1497
786	5504	1489
787	5511	1482
788	5519	1476
789	5525	1468
790	5532	1461
791	5537	1454
792	5543	1446
793	5549	1439
794	5555	1432
795	5562	1425
796	5569	1418
797	5575	1411
798	5582	1404
799	5588	1397
800	5594	1389
801	5600	1382
802	5607	1375
803	5614	1368
804	5621	1361
805	5628	1354
806	5635	1347
807	5641	1340
808	5646	1333
809	5653	1326
810	5660	1319
811	5666	1311
812	5672	1304
813	5678	1297
814	5684	1290
815	5690	1283
816	5697	1276
817	5703	1268
818	5710	1261
819	5717	1255
820	5724	1248
821	5732	1241
822	5737	1233
823	5742	1226
824	5749	1219
825	5756	1212
826	5763	1205
827	5768	1198
828	5776	1191
829	5782	1184
830	5789	1177
831	5795	1170
832	5801	1163
833	5809	1156
834	5816	1149
835	5823	1142
836	5829	1135
837	5834	1127
838	5840	1120
839	5845	1113
840	5851	1106
841	5858	1099
842	5864	1092
843	5870	1085
844	5877	1078
845	5882	1070
846	5889	1063
847	5895	1056
848	5901	1049
849	5910	1043
850	5917	1036
851	5923	1028
852	5928	1021
853	5934	1014
854	5940	1007
855	5945	1000
856	5952	993
857	5958	986
858	5964	979
859	5972	972
860	5977	965
861	5983	957
862	5990	950
863	5996	943
864	6002	936
865	6008	929
866	6015	922
867	6021	915
868	6026	908
869	6031	901
870	6036	894
871	6042	886
872	6048	879
873	6055	872
874	6060	865
875	6067	858
876	6073	851
877	6079	844
878	6085	837
879	6091	830
880	6098	823
881	6105	816
882	6110	809
883	6118	802
884	6124	795
885	6130	788
886	6136	781
887	6141	774
888	6149	767
889	6155	760
890	6162	753
891	6167	746
892	6172	739
893	6179	732
894	6185	725
895	6192	718
896	6200	712
897	6207	705
898	6215	698
899	6221	691
900	6227	684
901	6232	677
902	6239	670
903	6292	668
904	6317	663
905	6323	656
906	6331	649
907	6338	642
908	6354	636
909	6365	629
910	6375	622
911	6383	615
912	6389	608
913	6397	601
914	6404	594
915	6412	588
916	6418	580
917	6424	573
918	6430	566
919	6436	559
920	6443	552
921	6449	545
922	6454	538
923	6462	531
924	6468	524
925	6474	517
926	6480	510
927	6486	503
928	6494	496
929	6501	489
930	6509	482
931	6515	475
932	6521	468
933	6526	461
934	6532	454
935	6539	447
936	6545	440
937	6552	433
938	6559	426
939	6565	419
940	6573	412
941	6579	405
942	6586	398
943	6594	391
944	6600	384
945	6607	377
946	6613	370
947	6619	363
948	6625	356
949	6631	349
950	6639	342
951	6644	335
952	6650	327
953	6657	321
954	6663	313
955	6670	306
956	6677	300
957	6683	293
958	6689	286
959	6695	278
960	6702	271
961	6709	265
962	6715	258
963	6721	251
964	6727	243
965	6733	236
966	6740	230
967	6746	223
968	6752	216
969	6759	209
970	6765	202
971	6773	195
972	6778	188
973	6785	181
974	6792	174
975	6798	167
976	6805	160
977	6810	153
978	6815	146
979	6821	139
980	6827	132
981	6835	125
982	6841	118
983	6850	111
984	6856	104
985	6862	97
986	6868	90
987	6874	83
988	6880	76
989	6886	69
990	6892	62
991	6898	55
992	6905	48
993	6910	41
994	6916	34
995	6922	27
996	6928	20
997	6935	13
998	6941	6
999	6950	0
